('inversión', 1.0)
('consumo', 0.39891305975152647)
('prologado', 0.3750457847507963)
('par', 0.3721042037676253)
('millón', 0.3312152759768623)
('estímulo', 0.31448545101657543)
('prolongado', 0.31448545101657543)
('privado', 0.3139423916388161)
('comparación', 0.304724700110022)
('dólar', 0.30410471025084096)
('total', 0.3017254912544759)
('recuperar', 0.294174202707276)
('igualar', 0.28887333244486624)
('maquiladoras', 0.2844627935584563)
('año', 0.2752135547942738)
('cuenta', 0.2717551844997501)
('mil', 0.270155963604344)
('maxis', 0.26207120918047955)
('pixar', 0.26207120918047955)
('psinet', 0.26207120918047955)
('spyglass', 0.26207120918047955)
('tardar', 0.26207120918047955)
('peso', 0.2618391039294052)
('nivel', 0.2594891638549779)
('accionar', 0.2589888655132646)
('méxico', 0.2588999376570664)
('labastida', 0.25784397701617245)
('empresa', 0.25425419975449465)
('tonelada', 0.2519877436142186)
('equivalente', 0.2515883608132604)
('último', 0.2511751314854497)
('promedio', 0.24736372245907684)
('dentro', 0.24725274725274726)
('alcanzar', 0.24654599845943137)
('deteriorar', 0.2445997952351143)
('mercado', 0.24347519251848326)
('valorar', 0.2426307930309848)
('cerca', 0.24209101306752093)
('casi', 0.24125610325347158)
('sar', 0.24090602791485788)
('estadunidense', 0.2397929083521607)
('planta', 0.236273219685726)
('decrecer', 0.23586408826243158)
('dió', 0.23586408826243158)
('malestar', 0.23586408826243158)
('pasteurizar', 0.23586408826243158)
('romovale', 0.23586408826243158)
('validará', 0.23586408826243158)
('ello', 0.23230129842428243)
('país', 0.23033216743985874)
('destinar', 0.22966770070528583)
('instalación', 0.22957324554985958)
('ingreso', 0.22883997762066416)
('hacer', 0.2274418781695173)
('norteamérica', 0.2241327258722103)
('pasatiempo', 0.22380671446201664)
('banca', 0.22165076680881293)
('cifra', 0.21909358274946805)
('requerir', 0.21859755779303952)
('externo', 0.21836771372788633)
('meta', 0.21791793423134)
('suma', 0.21714471617811162)
('sector', 0.2163856337073152)
('dos', 0.21547290184283363)
('ascender', 0.213256114749778)
('pasado', 0.2118122040482196)
('cápita', 0.21096325392232293)
('fluctuar', 0.21096325392232293)
('impresionante', 0.21096325392232293)
('deuda', 0.2102485808442448)
('arca', 0.20965696734438363)
('demográfico', 0.20965696734438363)
('desfase', 0.20965696734438363)
('escolarización', 0.20965696734438363)
('golpear', 0.20965696734438363)
('persona', 0.2056364159689491)
('inflación', 0.20542103640523818)
('inferior', 0.20377134968227104)
('significar', 0.203149800073348)
('sintonizadores', 0.20299948573528753)
('mismo', 0.19922763772115087)
('samsung', 0.19917411897716447)
('exportación', 0.19889806323953876)
('horno', 0.19889806323953876)
('microondas', 0.19889806323953876)
('monitor', 0.19889806323953876)
('agregar', 0.1985059828456582)
('ciento', 0.19779185179980283)
('equivaler', 0.19766648444296034)
('televisor', 0.19672424864458837)
('circulante', 0.19444132962046293)
('cinescopios', 0.19258222162991084)
('aproximadamente', 0.19258222162991082)
('sencillamente', 0.19218555339901838)
('gobierno', 0.18991061299537093)
('medida', 0.1898559454459713)
('arrancar', 0.1889822365046136)
('fiscal', 0.18869127060994528)
('cinco', 0.18794100413722054)
('per', 0.18752289237539815)
('vencimiento', 0.18752289237539815)
('pasar', 0.18744577006394164)
('abarcar', 0.1853123291652753)
('acompañar', 0.1853123291652753)
('calcular', 0.1849285268979046)
('bolsa', 0.18479352545983005)
('salir', 0.1841283454289383)
('registrar', 0.1840386898173626)
('atractivo', 0.18344984642633566)
('costa', 0.18344984642633566)
('detrimento', 0.18344984642633566)
('millonaria', 0.18344984642633566)
('tlatelolco', 0.18344984642633566)
('importar', 0.1797059720094717)
('decir', 0.17919471643009088)
('mes', 0.17792089297169164)
('precio', 0.17765605154562442)
('tres', 0.17734766045016195)
('lograr', 0.17629309668728135)
('viven', 0.17625291134445537)
('disminución', 0.17580271160193578)
('periodo', 0.17580271160193578)
('captación', 0.1744451413888741)
('extranjera', 0.1744451413888741)
('institución', 0.17364554142048416)
('dinero', 0.17342199390482396)
('fondo', 0.1720215661452912)
('diferencia', 0.17118419700436519)
('mundo', 0.17061642032582128)
('generar', 0.17055368216583072)
('tiempo', 0.17048117885127634)
('contrato', 0.1703462859673117)
('estatal', 0.17029951822933148)
('primer', 0.16885505178119048)
('representar', 0.16809954440415772)
('maíz', 0.16762130860037783)
('diciembre', 0.16727605322124856)
('economía', 0.166904592079256)
('incluir', 0.1664375714839207)
