('fecha', 1.0)
('pichucalco', 0.32142857142857145)
('jalisco', 0.26808996093052473)
('contestación', 0.25555062599997597)
('chicomuselo', 0.23570226039551587)
('perdido', 0.22875450543583875)
('puesto', 0.22004401320440153)
('ahorradores', 0.21597969886241553)
('finiquitar', 0.21428571428571427)
('freno', 0.21428571428571427)
('señal', 0.21428571428571427)
('dado', 0.20619652471058064)
('cuestionar', 0.19090088708030314)
('mayoral', 0.18070158058105024)
('nicolás', 0.17569105537498347)
('decesos', 0.1722921969015792)
('surgir', 0.1722921969015792)
('molina', 0.16835875742536846)
('marzo', 0.16164353767314799)
('ruiz', 0.16122516961338137)
('cambiaria', 0.15152288168283162)
('deliberación', 0.15152288168283162)
('mondragón', 0.15152288168283162)
('reflexionar', 0.15152288168283162)
('colosio', 0.14785056625214876)
('fallecer', 0.14744195615489714)
('enero', 0.14345114601325779)
('feb', 0.14285714285714285)
('limitado', 0.14285714285714285)
('observar', 0.14067598969066597)
('comentar', 0.13904693239779647)
('muerta', 0.13468700594029479)
('pertinente', 0.13109470506889243)
('éste', 0.12917063288278074)
('comprobarsee', 0.12777531299998798)
('fuga', 0.12777531299998798)
('presentar', 0.12724933182511303)
('día', 0.12661778756658368)
('poderoso', 0.1263788195613404)
('año', 0.1255386544539933)
('hecho', 0.12252714683860512)
('simplemente', 0.12249898938750631)
('alguna', 0.12216944435630522)
('febrero', 0.12206826881567391)
('comunicación', 0.12012858507987088)
('medio', 0.11983864182969445)
('empezar', 0.11952286093343936)
('programación', 0.11915109374689987)
('alvarado', 0.1188643277625491)
('pasado', 0.11829695303011788)
('distinto', 0.11787671385814781)
('eco', 0.11664236870396087)
('guerrilla', 0.11065666703449761)
('postergar', 0.11065666703449761)
('solamente', 0.11065666703449761)
('secretaría', 0.11029266385399374)
('masivo', 0.11021667854435135)
('nivelar', 0.10974589708533941)
('primero', 0.10817716934550511)
('cuernavaca', 0.10798984943120776)
('reseñar', 0.10798984943120776)
('medida', 0.1070383784664793)
('investigación', 0.10594569267279519)
('final', 0.10540925533894598)
('mínimo', 0.10497813183356478)
('efectuar', 0.10204081632653061)
('cete', 0.10101525445522108)
('paciente', 0.10101525445522108)
('agraviado', 0.10101525445522107)
('asalariada', 0.10101525445522107)
('cirugía', 0.10101525445522107)
('crediticia', 0.10101525445522107)
('degradar', 0.10101525445522107)
('desaliento', 0.10101525445522107)
('desfile', 0.10101525445522107)
('electo', 0.10101525445522107)
('enlace', 0.10101525445522107)
('enviar', 0.10101525445522107)
('envío', 0.10101525445522107)
('esclarecimiento', 0.10101525445522107)
('ganadero', 0.10101525445522107)
('insistentemente', 0.10101525445522107)
('instituto', 0.10101525445522107)
('locatel', 0.10101525445522107)
('murrieta', 0.10101525445522107)
('ofensiva', 0.10101525445522107)
('rabia', 0.10101525445522107)
('rectificaciones', 0.10101525445522107)
('subasta', 0.10101525445522107)
('tragedia', 0.10101525445522107)
('validarán', 0.10101525445522107)
('vigilante', 0.10101525445522107)
('ejemplo', 0.10050378152592121)
('confianza', 0.1000200060020007)
('universal', 0.09821428571428571)
('aclarar', 0.09799919151000504)
('caso', 0.09754124885698841)
('trabajo', 0.09689843679657545)
('mes', 0.09653391119992656)
('ningún', 0.09641805302093064)
('duce', 0.09352195295828246)
('llamada', 0.09352195295828246)
('desastre', 0.09269795493186431)
('michel', 0.0913717355809759)
('dos', 0.09061929248807808)
('columna', 0.09035079029052512)
('entrevista', 0.09035079029052512)
('maestra', 0.09035079029052512)
('pared', 0.09035079029052512)
('relativo', 0.09035079029052512)
('retroactivo', 0.09035079029052512)
('cierre', 0.08999154119267315)
('error', 0.08999154119267315)
('saldo', 0.08983259221750463)
('excelsior', 0.08945880094979733)
('armado', 0.08936332031017491)
('mario', 0.08859623899229176)
('obligado', 0.08817334283548109)
('documento', 0.08792249355666623)
('directo', 0.08748177652797066)
('reunión', 0.08748177652797066)
('referir', 0.0872638888259323)
('carta', 0.08714204019005982)
('labor', 0.08714204019005982)
('periódico', 0.08661986608440464)
('descuento', 0.0861460984507896)
('ayer', 0.08598989506126371)
('financiero', 0.08594377551111793)
('ir', 0.08583453830372995)
('lópez', 0.08583453830372995)
('desempleo', 0.08528890201799907)
('acreditar', 0.085183541999992)
('ingresar', 0.0847701184424181)
('transporte', 0.08445679527122513)
('vida', 0.08422994341033951)
('lista', 0.08404977220207888)
('noviembre', 0.08403361344537816)
('nacional', 0.08400506487327633)
('persona', 0.08381168387549735)
('informar', 0.08362420100070907)
('conocer', 0.08333333333333333)
('gobierno', 0.08301693752804074)
('parte', 0.08284764353861347)
('agrario', 0.0828215577663147)
('parecido', 0.08247860988423225)
('regreso', 0.08247860988423225)
('socaire', 0.08247860988423225)
('subvencionar', 0.08247860988423225)
('tacubaya', 0.08247860988423225)
('totalidad', 0.08247860988423225)
('transmitir', 0.08247860988423225)
('asunto', 0.08163265306122448)
('enriquecer', 0.08099238707340582)
('massieu', 0.08099238707340582)
('nota', 0.08091039465860593)
('apuntar', 0.08081220356417686)
('cajero', 0.08001600480160055)
('detener', 0.07985957062499248)
('marcar', 0.07958371636159366)
('dependencia', 0.07924288517503274)
('desplomar', 0.07924288517503274)
('nuevamente', 0.07924288517503274)
('suspensión', 0.07924288517503274)
('titular', 0.07924288517503274)
('ubicar', 0.07924288517503274)
('denuncia', 0.07887966148203324)
('socioeconómico', 0.0784917508278223)
('fax', 0.07824607964359516)
('inicio', 0.07824607964359516)
('quebrar', 0.07824607964359516)
('señor', 0.07739090555513733)
('lunes', 0.07729372715276585)
('ambos', 0.07705141285294195)
('abierto', 0.07702340943102742)
('estabilidad', 0.07702340943102742)
('mayoría', 0.07697370086861781)
('rumbo', 0.07668973244214557)
('editorial', 0.07654913226441191)
('favor', 0.07636035483212125)
('infantil', 0.07636035483212125)
('ritmo', 0.07636035483212125)
('tras', 0.07636035483212125)
('imprimir', 0.07624928516630233)
('recuperar', 0.07614311298414658)
('país', 0.07600427319082069)
('diciembre', 0.0758692863633992)
('forma', 0.07580980435789034)
('suficientemente', 0.07576144084141581)
('mañana', 0.07568756326085965)
('víctima', 0.07568756326085965)
('vía', 0.07529232524210427)
('luis', 0.07511223057904105)
('último', 0.07507055060648402)
('regional', 0.07503224734841289)
('conflicto', 0.07487748833727988)
('decir', 0.07469875916181933)
('inversionistas', 0.07460470969529907)
('ámbito', 0.07460470969529907)
('pgr', 0.07439366341761364)
('dar', 0.07416714164143809)
('explotar', 0.07377111135633174)
('menor', 0.07352146220938077)
('comprar', 0.072571501142966)
('pib', 0.0725247260809728)
('chiapaneco', 0.07244179326244428)
('maíz', 0.07244179326244428)
('resolver', 0.07244179326244428)
('recibir', 0.07225436269412473)
('escribir', 0.07199323295413852)
('rescate', 0.07199323295413852)
('parecer', 0.07178841537565801)
('variar', 0.07176157356676469)
('salario', 0.0717092348729324)
('acuerdo', 0.07142857142857142)
('antagónico', 0.07142857142857142)
('arzú', 0.07142857142857142)
('autor', 0.07142857142857142)
('boca', 0.07142857142857142)
('capricho', 0.07142857142857142)
('chovinismo', 0.07142857142857142)
('cliente', 0.07142857142857142)
('complicado', 0.07142857142857142)
('confección', 0.07142857142857142)
('deriva', 0.07142857142857142)
('descubrimiento', 0.07142857142857142)
('dicha', 0.07142857142857142)
('encima', 0.07142857142857142)
('especulador', 0.07142857142857142)
('estacionamiento', 0.07142857142857142)
('extradición', 0.07142857142857142)
('joe', 0.07142857142857142)
('mediodía', 0.07142857142857142)
('meramente', 0.07142857142857142)
('odiar', 0.07142857142857142)
('personalizar', 0.07142857142857142)
('proyectar', 0.07142857142857142)
('prudente', 0.07142857142857142)
('retirar', 0.07142857142857142)
('sacar', 0.07142857142857142)
('subprocuraduría', 0.07142857142857142)
('tercera', 0.07142857142857142)
('tomás', 0.07142857142857142)
('unicamente', 0.07142857142857142)
('vacacionalúnico', 0.07142857142857142)
('cada', 0.07125066686483092)
('desalojos', 0.07072482449833388)
('ver', 0.07047159039750941)
('tratado', 0.07045670884515312)
('representar', 0.07004147683506573)
